IJL Trott,ENG,2009,2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5
AL Logie,WI,1981,1993,158,133,36,2809,109,28.95,3801,73.9,1,14,13
WTS Porterfield,IRE,2006,2017,95,94,3,2804,112,30.81,4186,66.98,8,13,6
AH Jones,NZ,1987,1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4
M Kaif,INDIA,2002,2006,125,110,24,2753,111,32.01,3822,72.03,2,17,8
SC Williams,ZIM,2005,2017,104,100,14,2742,102,31.88,3431,79.91,1,24,7
SV Carlisle,ZIM,1995,2005,111,107,8,2740,121,27.67,4325,63.35,3,9,11
Salman Butt,PAK,2004,2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15
RG Twose,NZ,1995,2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5
GJ Whittall,ZIM,1993,2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12
KJ O'Brien,IRE,2006,2017,105,95,11,2698,142,32.11,3136,86.03,2,14,5
RS Bopara,ENG,2007,2015,120,109,21,2695,101,30.62,3462,77.84,1,14,4
Mudassar Nazar,PAK,1977,1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6
DM Bravo,WI,2009,2016,94,91,10,2595,124,32.03,3714,69.87,3,17,7
HDRL Thirimanne,SL,2010,2016,107,87,12,2586,139,34.48,3580,72.23,4,16,5
AJ Finch,AUS,2013,2017,79,75,1,2580,148,34.86,2900,88.96,7,15,7
Zaheer Abbas,PAK,1974,1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2
AC Hudson,SA,1991,1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6
Ahmed Shehzad,PAK,2009,2016,75,75,1,2510,124,33.91,3451,72.73,6,13,6
VG Kambli,INDIA,1991,2000,104,97,21,2477,106,32.59,3443,71.94,2,14,4
JDP Oram,NZ,2001,2012,160,116,15,2434,101,24.09,2810,86.61,1,13,8
TM Odoyo,Afr,1996,2014,136,119,16,2420,111,23.49,3438,70.38,1,8,13
TM Odoyo,KENYA,1996,2014,136,119,16,2420,111,23.49,3438,70.38,1,8,13
RA Smith,ENG,1988,1996,71,70,8,2419,167,39.01,3473,69.65,4,15,4
L Vincent,NZ,2001,2007,102,99,10,2413,172,27.11,3453,69.88,3,11,8
GP Thorpe,ENG,1993,2002,82,77,13,2380,89,37.18,3344,71.17,0,21,3
CJ Chibhabha,ZIM,2005,2016,100,100,2,2346,99,23.93,3701,63.38,0,16,7
VVS Laxman,INDIA,1998,2006,86,83,7,2338,131,30.76,3282,71.23,6,10,3
RR Singh,INDIA,1989,2001,136,113,23,2336,100,25.95,3144,74.3,1,9,5
N Hussain,ENG,1989,2003,88,87,10,2332,115,30.28,3481,66.99,1,16,6
GS Chappell,AUS,1971,1983,74,72,14,2331,138,40.18,3079,75.7,3,14,7
JC Buttler,ENG,2012,2017,87,75,12,2290,129,36.34,1934,118.4,4,12,8
KA Pollard,WI,2007,2016,101,95,6,2289,119,25.71,2464,92.89,3,9,12
PR Stirling,IRE,2008,2017,73,72,2,2285,177,32.64,2498,91.47,5,9,5
