MA Holding,WI,1976,1987,102,102,5473,3034,142,5/26,21.36,3.32,38.5,5,1
EJ Chatfield,NZ,1979,1989,114,112,6065,3618,140,5/34,25.84,3.57,43.3,3,1
HDPK Dharmasena,SL,1994,2004,141,134,7009,4998,138,4/37,36.21,4.27,50.7,1,0
SB Styris,NZ,1999,2011,188,161,6114,4839,137,6/25,35.32,4.74,44.6,4,1
MF Maharoof,SL,2004,2016,109,105,4640,3789,135,6/14,28.06,4.89,34.3,4,2
DW Fleming,AUS,1994,2001,88,88,4619,3402,134,5/36,25.38,4.41,34.4,4,1
A Symonds,AUS,1998,2009,198,158,5935,4955,133,5/18,37.25,5,44.6,2,1
P Utseya,ZIM,2004,2015,164,160,8571,6239,133,5/36,46.9,4.36,64.4,2,1
Abdul Qadir,PAK,1983,1993,104,100,5100,3454,132,5/44,26.16,4.06,38.6,4,2
M Dillon,WI,1997,2005,108,107,5480,4218,130,5/29,32.44,4.61,42.1,3,3
Mohammad Hafeez,PAK,2003,2017,182,151,6812,4694,129,4/41,36.38,4.13,52.8,1,0
RJ Shastri,INDIA,1981,1992,150,136,6613,4650,129,5/15,36.04,4.21,51.2,2,1
MA Starc,AUS,2010,2017,65,65,3194,2566,129,6/28,19.89,4.82,24.7,7,5
Imran Tahir,SA,2011,2017,74,72,3892,3004,127,7/45,23.65,4.63,30.6,5,2
NLTC Perera,SL,2009,2016,114,109,4157,3989,127,6/44,31.4,5.75,32.7,3,3
DK Morrison,NZ,1987,1996,96,95,4586,3470,126,5/34,27.53,4.53,36.3,1,2
JE Taylor,WI,2003,2016,85,83,4143,3549,126,5/48,28.16,5.13,32.8,3,1
Mohammad Rafique,Asia,1995,2007,125,124,6414,4739,125,5/47,37.91,4.43,51.3,3,1
Mohammad Rafique,BDESH,1995,2007,125,124,6414,4739,125,5/47,37.91,4.43,51.3,3,1
Azhar Mahmood,PAK,1996,2007,143,139,6242,4813,123,6/18,39.13,4.62,50.7,2,3
Mohammad Sami,PAK,2001,2015,87,85,4284,3567,121,5/10,29.47,4.99,35.4,3,1
IR Bishop,WI,1988,1997,84,83,4332,3127,118,5/25,26.5,4.33,36.7,7,2
IVA Richards,WI,1975,1991,187,131,5644,4228,118,6/41,35.83,4.49,47.8,1,2
R Rampaul,WI,2003,2015,92,88,4033,3434,117,5/49,29.35,5.1,34.4,8,2
PAJ DeFreitas,ENG,1987,1997,103,103,5712,3775,115,4/35,32.82,3.96,49.6,1,0
I Sharma,INDIA,2007,2016,80,78,3733,3563,115,4/34,30.98,5.72,32.4,6,0
WJ Cronje,SA,1992,2000,188,153,5357,3966,114,5/32,34.78,4.44,46.9,1,1
MC Snedden,NZ,1980,1990,93,90,4525,3237,114,4/34,28.39,4.29,39.6,1,0
GR Larsen,NZ,1990,1999,121,119,6368,4000,113,4/24,35.39,3.76,56.3,1,0
PD Collingwood,ENG,2001,2011,197,151,5186,4294,111,6/31,38.68,4.96,46.7,3,1
AD Mathews,SL,2008,2016,180,146,4897,3779,111,6/20,34.04,4.63,44.1,1,1
Mudassar Nazar,PAK,1977,1989,122,104,4855,3432,111,5/28,30.91,4.24,43.7,1,1
Yuvraj Singh,Asia,2000,2017,296,160,5018,4269,111,5/31,38.45,5.1,45.2,2,1
Yuvraj Singh,INDIA,2000,2017,296,160,5018,4269,111,5/31,38.45,5.1,45.2,2,1
Naved-ul-Hasan,PAK,2003,2010,74,72,3466,3221,110,6/27,29.28,5.57,31.5,6,1
DR Tuffey,NZ,2000,2010,94,92,4333,3534,110,4/24,32.12,4.89,39.3,2,0
TT Bresnan,ENG,2006,2015,85,84,4221,3813,109,5/48,34.98,5.42,38.7,3,1
GP Wickramasinghe,SL,1990,2002,134,132,5720,4321,109,4/48,39.64,4.53,52.4,1,0
SP O'Donnell,AUS,1985,1991,87,87,4350,3102,108,5/13,28.72,4.27,40.2,5,1
DNT Zoysa,SL,1997,2007,95,93,4259,3213,108,5/26,29.75,4.52,39.4,2,1
PA de Silva,SL,1984,2003,308,156,5148,4177,106,4/30,39.4,4.86,48.5,2,0
TM Dilshan,SL,1999,2016,330,204,5880,4778,106,4/4,45.07,4.87,55.4,3,0
A Nel,SA,2001,2008,79,76,3801,2935,106,5/45,27.68,4.63,35.8,3,1
PR Reiffel,AUS,1992,1999,92,92,4732,3096,106,4/13,29.2,3.92,44.6,5,0
GW Flower,ZIM,1992,2010,221,156,5462,4225,104,4/32,40.62,4.64,52.5,2,0
GP Swann,ENG,2000,2013,79,76,3809,2888,104,5/28,27.76,4.54,36.6,3,1
DK Lillee,AUS,1972,1983,63,63,3593,2145,103,5/34,20.82,3.58,34.8,5,1
C Pringle,NZ,1990,1995,64,64,3314,2459,103,5/45,23.87,4.45,32.1,2,1
ST Finn,ENG,2011,2017,68,66,3508,2961,102,5/33,29.02,5.06,34.3,4,2
E Chigumbura,Afr,2004,2016,205,132,4339,4274,101,4/28,42.31,5.91,42.9,1,0
E Chigumbura,ZIM,2004,2016,205,132,4339,4274,101,4/28,42.31,5.91,42.9,1,0
Wahab Riaz,PAK,2008,2017,77,76,3589,3347,101,5/46,33.13,5.59,35.5,4,1
WKM Benjamin,WI,1986,1995,85,85,4442,3079,100,5/22,30.79,4.15,44.4,0,1
SC Ganguly,Asia,1992,2007,311,171,4561,3849,100,5/16,38.49,5.06,45.6,1,2
SC Ganguly,INDIA,1992,2007,311,171,4561,3849,100,5/16,38.49,5.06,45.6,1,2
RA Harper,WI,1983,1996,105,99,5175,3431,100,4/40,34.31,3.97,51.7,3,0
CK Langeveldt,SA,2001,2010,72,71,3489,2962,100,5/39,29.62,5.09,34.8,1,2
RW Price,ZIM,2002,2012,102,99,5374,3575,100,4/22,35.75,3.99,53.7,1,0
NJ Astle,NZ,1995,2007,223,159,4850,3809,99,4/43,38.47,4.71,48.9,1,0
KAJ Roach,WI,2008,2015,67,66,3349,2782,99,6/27,28.1,4.98,33.8,2,3
CJ McKay,AUS,2009,2014,59,59,2965,2364,97,5/28,24.37,4.78,30.5,4,2
PL Taylor,AUS,1987,1992,83,80,3937,2740,97,4/38,28.24,4.17,40.5,1,0
N Boje,Afr,1995,2005,115,108,4541,3415,96,5/21,35.57,4.51,47.3,2,1
N Boje,SA,1995,2005,115,108,4541,3415,96,5/21,35.57,4.51,47.3,2,1
V Sehwag,Asia,1999,2013,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0
V Sehwag,ICC,1999,2013,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0
V Sehwag,INDIA,1999,2013,251,146,4392,3853,96,4/6,40.13,5.26,45.7,1,0
PA Strang,ZIM,1994,2001,95,89,4351,3173,96,5/21,33.05,4.37,45.3,2,2
PS de Villiers,SA,1992,1997,83,82,4422,2636,95,4/27,27.74,3.57,46.5,2,0
JP Faulkner,AUS,2013,2017,67,65,3116,2858,95,4/32,30.08,5.5,32.8,4,0
AJ Hall,SA,1999,2007,88,78,3341,2515,95,5/18,26.47,4.51,35.1,3,1
SO Tikolo,Afr,1996,2014,135,99,4016,3215,94,4/41,34.2,4.8,42.7,2,0
SO Tikolo,KENYA,1996,2014,135,99,4016,3215,94,4/41,34.2,4.8,42.7,2,0
LL Tsotsobe,SA,2009,2013,61,60,2964,2347,94,4/22,24.96,4.75,31.5,7,0
SP Narine,WI,2011,2016,65,65,3540,2435,92,6/27,26.46,4.12,38.4,4,2
AC Cummins,Can,1991,2007,76,74,3767,2877,91,5/31,31.61,4.58,41.3,2,1
AC Cummins,WI,1991,2007,76,74,3767,2877,91,5/31,31.61,4.58,41.3,2,1
KJ O'Brien,IRE,2006,2017,105,89,3282,2872,90,4/13,31.91,5.25,36.4,3,0
WD Parnell,SA,2009,2017,61,57,2737,2569,90,5/48,28.54,5.63,30.4,3,2
BP Patterson,WI,1986,1993,59,58,3050,2206,90,6/29,24.51,4.33,33.8,1,1
BL Cairns,NZ,1974,1985,78,75,4015,2717,89,5/28,30.52,4.06,45.1,2,1
Saleem Malik,PAK,1982,1999,283,120,3505,2959,89,5/35,33.24,5.06,39.3,1,1
TM Alderman,AUS,1981,1991,65,65,3371,2056,88,5/17,23.36,3.65,38.3,1,2
GF Lawson,AUS,1980,1989,79,79,4259,2592,88,4/26,29.45,3.65,48.3,1,0
Rubel Hossain,BDESH,2009,2016,69,69,3122,2932,88,6/26,33.31,5.63,35.4,5,1
GJ Whittall,ZIM,1993,2003,147,112,4060,3481,88,4/35,39.55,5.14,46.1,1,0
UT Yadav,INDIA,2010,2017,63,62,2957,2965,88,4/31,33.69,6.01,33.6,3,0
TA Boult,NZ,2012,2017,48,48,2604,2162,87,6/33,24.85,4.98,29.9,4,2
Mohammed Shami,INDIA,2013,2015,47,46,2345,2166,87,4/35,24.89,5.54,26.9,5,0
AME Roberts,WI,1975,1983,56,56,3123,1771,87,5/22,20.35,3.4,35.8,2,1
MM Patel,INDIA,2006,2011,70,67,3154,2603,86,4/29,30.26,4.95,36.6,3,0
